Channel,Title,Rating,Review
Aajtak,One of the most popular news channels in India,5,"One of the most popular news channels in India: Aajtak is a 24 hours hindi news channel which was launched in 1998 and has continued to keep us up-to-date with their live telecasts. Their reporters speak well, are straightforward and not biased towards anybody. They have segments such as ‘nonstop 100’ wherein they show you 100 news without a break, ‘khabrein superfast’ which shows news in an express manner and ’10 minute main 50 khabrein’ which shows 50 top news in just 10 minutes. Their show ‘Adhbhut Akalpaniya’ talks about people from various walks of life and their journey is super inspiring, and in ‘Uparwala dekh raha hai’ we see the hosts discussing social issues with experts that shows us the ground reality. Although I preferred Aaj tak only for watching news but of late I have noticed that it shows a lot of advertisements every few minutes thus I have no choice but to watch another channel!"
Aajtak,Best of breaking news provider,4,Aaj Tak is best news provider in the india and I think so it the best platform to gain knowledge about the latest upcoming news in market. Aaj Tak is provider  important news weather news and other news so I'd like onli to channels to watch news The Times of India and aajtak. the best news provider in India it's a competitive is there any news channel and also been so many words to provide a good news in market so I recommend to all of you to watch the this  because I was there is a  news channels which provide you through news and also provide any information news life science technology and  horoscope so you must watch  your daily news. I like this news channel because of information. I dislike this news channel because of advertisement
Aajtak,This channel is spreading Fake news,1,This channel is spreading Fake news and false news and animation channel.... I am unfollowing this channel...
Aajtak,Baseless NEWS coverage -Ruins existing image,1,"Really disheartening on Aaj tak news coverage supporting negativity. In Past we just rely on the aaj tak coverage only, now the channel loose its confidence from majority of people in  society. Nowdays Aaj Tak NEWS authenticity is having big question mark . Sushant and Hathras case reporting by Aaj tak coverage shows negative coverage and supporting culprits . Need to Re-asses their performance and need to seek their past performance in order to comeback else it would be difficult ."
Aajtak,Rajdeep is Lisburn for Chanel,1,"Rajdeep sardesai is funny guy , he always like tI tease a person while conducting interviews. So many Time he was shamelessly insulted . AajTak was best channel and can be a good Chanel without Rajdeep. I have doubt about his capability to work in a news channel. His father was great cricketer and he is known more because of his father name  than his own capabilities. Aaj tak should take note of it."
Aajtak,From today i Boycott aaj tak,1,Shame on u aaj tak....u support rhea ....the murderer of sushant singh rajput. Everone knows it .....surf aapke interview lene se koi pharkh nahi padta
Aajtak,Paid media shame on u,1,"U guys r sold n lost ur dignity If u were no1, there was a reason but sinve u hv become more commercialised and forgot the purpose of journalism, u deserve to be removed frm ur so-called position. Realize, we ppl r not fool n knw whts right n wrong. Dnt evn deserve one star?? #ShameOnAajtak"
Aajtak,Absurd and sold channel and lost steam,1,One of third class work by promoting wrong ones and only running and repeating the news which has no base and did not doing anything
Aajtak,Worst Channel,1,I was very happy with the channel & their anchors...but now a days they sold their dignity in support with criminals. #ShameOnAajTak
Aajtak,Corrupted media,1,Its a disgusting media i ever seen...corrupted media nd its reporters.just ban #aajtak and all its news...
Aajtak,Worst channel,1,Worst news channel . Will never follow this after what they did in sushant Singh case. Bad journalism. Deeply hurt with what they are doing to get TRP .
Aajtak,Rubbish Channel,1,The Rhea interview has exposed this rubbish channel that runs on sensationalism.   There should be regulation on such paid channels and should be delisted immediately.   Another one is the ABP group.  Such channels will anyway die a slow death of their own making.
Aajtak,Boycott  Chanel,1,"Against to journalism..try tobe honest, trust worthy, and reliable.. Don't delivery the wrong news for money."
Aajtak,Supporting criminal,1,"This channel is supporting a criminal, an accused in ssr case. It is no more a public channel but a platform for criminals."
Aajtak,Poor,1,Not showing truth and support who doing crime really bad and arrange paid interview recently nation does not support this channel
Aajtak,Baycoat,1,You guys are supporting criminal & giving them a national platform ??what you guys think this fake rheaâ€™s interview change public mind or we backlit from SSR justice then you are mistaken 130+ crore people + other countries people all are with SSR & we need justice but you guys should shame on your self baycoat aaj tak.
Aajtak,WorngAajTak Only for Rajdeep Sardesai,1,"#BoycottAajTak #BoycottIndiaToday #BoycottRajdeepSardesai We are not against Free Speech, but only selective questions and specifically answered is not the correct Free Speech platform. He should ask cross-question and it should be lived not recorded."
Aajtak,Failed in justice,1,Aaj tak channel not good channel. once a time was this channel is good but present time this is going very bad.
Aajtak,Sushant Singh Rajput,1,Aaj tk in a prime time is full of programs show only bogus material. The way they r doing negative publicity ... Hate it ??
Aajtak,Boycott Aaj tak,1,"Most corrupted, paid and biased channel. BOYCOTT it completely. Its against people of India. Justice for SSR."
Aajtak,Worst channel,1,"Shame on you AAJ TAK, you are supporting to RHEA please everyone don, t go with them to watch AAJ TAK Boycott AAJ TAK"
Aajtak,Very Hopeless and Biased Channel,1,Just see how shamelessly they are taking 2 hrs interview on primetime of a murderer RHEA and that too by a presstitute none other that Rajdep Sardesai. Stopped watching it and opted out to unsubscribe it from my package. Request citizens to fight this propaganda of gutterchaap Bollywood. Boycott Bollowood.
Aajtak,Paid channel,1,Shame on you paid media get out of news business. Boycott aaj Tak news channel Showing only glorify people no more paid media
Aajtak,Paid channel,1,It's a paid channel. Rhea interview exposed everything abt channel.Everytime I've noticed soft corners for criminals like in SSR case..One side they are demanding justice for SSR
Aajtak,Biycott aaj tak,1,Worst boycott this channel immediately. Shame. Everyone stop watching this channel who are the criminals supporters.
Aajtak,Shame on you,1,Shame on your aaj tak and rajdeep .. you are sick and you should know what to do .. you are accused too
Aajtak,Worst channel I have ever seen,1,Worst channel!  It should be not be allowed to telecast on national television & also it should be boycotted.
Aajtak,I don’t even feel like to give any stars worst cha,1,Yak channel after today I dnt feel like to see this channel ever in humanity act done I never know how do u guys get strength to telecast kind of videos
Aajtak,Shame on aaj tak channel for todays interview,1,Shame on you Aaj tak. This is only for TRP.very bad. We will not watch Aaj tak channel. Why you have taken interview of that girl. She is fake girl. Nobody would like your channel or interviewer.
Aajtak,Interview with Rhea,5,Great Interview.Excellent effort to bring truth to the people and bring forward the innocent harrased alone lady and alone family.Aaj Tak TV keep it up.
Aajtak,Reha interviewe,1,Aajtak sapoting reha chakravarte in Sushant case? so don't cover this tyep news in future learn how we can cover news R republic
Aajtak,Shame on Aaj Tak,1,"Like Ria Aaj Tak also became a GOLD DIGGER, Shame on you guys working for a fake media . Shut down your channel if you donâ€™t have the ability to stand for the nation."
Aajtak,Today SSR victim interview,1,"Shame on aaj tak Shame on Rajdeep Shame Shame on Ryha Today onwards, me, my family, my friend circle will boycott Aaj Tak"
Aajtak,Rhea interview fake hai. Fix hai.,1,"Rhea interview is fixed. Paid interview. She is lying. Aaz tak shame on u. Rajdeep, this was expected from u only..... Non sense... CBI ke saamne isko bithao..."
Aajtak,Disappointment on Rhea interview,1,Worst interview of Rhea I have ever seen . We are disappointed with Aaj Tak. Rhea is making fake stories.
Aajtak,Only for TRP. ??????,1,Only for TRP. You are giving space to culprits. Whatâ€™s the need to show such a worst telecast of that culprit.
Aajtak,Trust broken,1,Giving forum to culprit not expected from respected channel.. public and channel don't stand on same ground.
Aajtak,Worst channel,1,"They are giving a chance to culprit who is drug dealer, who is wahiyaat. Even in the interview she is lying that SSR afraid from flying but this is lie go and check ankita lokhande video. I don't understand what you guys thought of taking this suck's interview. She is doing black magic. I loved your channel but In this SSR case you're baised, you're also doing competition with Republic Bharat. If she have guts and if she is saying truth she can come to Republic media then will see what's gonna she say. As pithani got flumbed over the interview I'm granting she won't be able to say even a single word on Republic media but you guys took her interview at mid night that doesn't mean that she is right. I really wish that as early as CBI needs to arrest that black magic girl."
Aajtak,Best news anchor,5,"Syed Ansari is best announcer in my opinion.he speaks each word clearly and neatly, in my opinion he is number one anchor."
Aajtak,Worst Channel,1,Totally worst channel. These people try to improve the image of CULPRITS. We as common people can something but they cannot see anything. Previously I thought they were genuine but now I know their reality. After seeing them desperately trying to improve the image of Rhea Chakraborty on their channel. The proof they have is the chat between Rhea and his old boyfriend cum dad Mahesh Bhatt. I didn't saw the chat on other channels. Why were they so much favoured by Rhea and Shiv sena on such a wonderful chat material. Please don't spoil the image of media in front of us all by supporting wrong people. I am going to cut them off my Dish plan such that I or my family member accidentally land on the channel. Go to hell guys!
Aajtak,Biased Channel,1,"This is another channel people are subscribing overseas and what you see people are deceived by giving them false news about The Indian Government. All news in this channel  are biased in showing how great the present government is doing. The anchors are asking questions to the opposition parties instead of asking to the ruling party. What a shame. They are not asking the govt. about the economy the gdp growth, jobs, price hikes, which the present govt. is responsible. And these questions are asked to the opposition parties why they are not able to do this for the people. The PM of the country has been projected as a ruler of the country and India cannot do anything  without his consent. Pathetic state of affairs in India. And Dish TV and others are selling these channels of fake. My request would be for all those Indians who love My country to unsubscribe these Godi Channels and fight against the government. God bless India. Jaihind."
Aajtak,Godi media,1,Targeting one religious not relevant anything jus targeting people's unwanted issues. Be Indian see going on around you.
Aajtak,Show only motivated things,3,Aaj Tak channel is good but show only motivated things Today ur channel is showing rubbish things like rates in China have done soo much injuries in 14 th centuryMany people's have diedand many were injured andall thatAt this time people are already scarred so don't show this types of things
Aajtak,Aaj Tak,3,Aaj Tak is good channel in India history! From childhood I'm watching aaj tak news channel! Aaj tak provide fastest news for Indian viewer! It's quality of news is always best and provide always realest news! The news managing system of aaj Tak is the best!  His all ankar are very educated and provide news very interested! Whenever I am watching news channels I'm mostly watch to the that channels because it is a believable chanles!  So thanku very much to all my friends enjoy that channel
Aajtak,Aaj Tak News !!,3,"There are hundreds of mobile application available in android market for news. Aaj Tak is one of the good Hindi news application provided by Aaj Tak TV Channel. I have downloaded this application recommended by Aaj Tak Channel. I am using this application from last some month and happy with result given by it. I must describe some good and worst aspects of this application. Its my true experience and sharing here. Good Aspects 1 This is free application which provide latest hindi news on mobile with just fingertip. 2 Aaj Tak provide us latest news with many categories like political news, world news, local news and current affairs. 3 Aaj Tak provide us some news with videos and we can watch video news also in this application. 4 This application allow us to share latest news with friends via social medias like Facebook and Twitter as well on Whatsapp. 5 This application provide news in hindi font and if our mobile does not support Hindi text, we can still read Hindi text in it. Worst Aspects 1 This application contains lot of advertisements and I do not like it, it have really many advertisement in it. 2 This application is slower in even 3G network, I have not used it in 2G network, if slow in 3G than you can understand what will happen in 2G networks. Conclusion I am using this application and just for advertisement issues, I am not happy with it. Aaj Tak must improve in application for make it more useful for us. You can download and try this application."
Aajtak,Fake news channel Aaj Tak,1,"Aaj tak is a fake news channel. Never I will see this channel, how a owner of a news channel can support a accused, a drug peddler. I have really a big doubt and seeing a big racket behind that. I support Republic Bharat and republic tv. Aaj tak is fake news channel cleared to me when I saw Rajdeep Desai was asking premeditated question and answer. Very sorry for Aaj tak channel it's real face came out in public."
Aajtak,Pathetic News Channel & their Anchor,1,"I was one of the regular viewer of ajtak but now I switched to republic Bharat and times now. Ajtak is showing wrong news every time without doing their homework. And the headline they are putting is worst, which actually not matched to the news. No sense of Journalism. They are loosing their credibility."
Aajtak,AAj Tak is rediculous channel,1,Very sad to see Rhea interview @ Aaj Tak. Shame on you Rajdeep and Aaj Tak. Aaj Tak must be banned and there must be action  taken against Aaj Tak.
Aajtak,Worst Media Channel,1,"Its name should be ""Criminal Tak"" because it supports prime accused person i.e. Rhea Chakraborty and other dumb bollywood heroes, I have already cancelled the subscription of this fake news channel. Note - please have 0 star option included in ""Star Rating"""
Aajtak,Only masala news here,2,"Aaj tak channel coverage of political news I must say is very fast and absolute. Though I hate these guys because of the they have commercialized everything but audience watch it.after all it's all about TRPs. They are ver fast in covering the news.but very loud. They have this perception imposition on news.and most of their anchors act arrogantly and behave like they are the supermen. But, I could see a lot of biased news lot of times.During election period keep an eye on this channel's programs.you will understand what I am saying.as u can see all the time  Unethical journalism is ethical and cool here on this channel. But, this is total masala news channel.i hate most when they telecast superstitious programs like tarot card readers, some babajis telling you future etv.This guys even do not mind to sell some superstitious products through their channel.i do not understand despite they must be earning so much of money still why they go for loud and stupid programs which mislead the country. They are definitely number 1 but I hate them. Half the time they play commercials only. Thanks for reading my review and rate my review useful or very useful. Don't forget to follow me for latest updates."
Aajtak,Soch Jaha tak - waha Aaj Tak,5,"Aaj Tak is India's no 1 News Channel in Hindi, now it is available in your pocket, you can download this app and update your knowledge and connect with each and every small awareness. This is a very useful app, you can view live TV also, the moto of this app is provide updated news to every person in their workplace also. Design and layout will never make you feel that you are not in front of your TV, You can choose your news category wise i.e. Politics, Bollywood,  Sports, Entertainment, India and abroad. It is very useful News App to make you update in any place."
Aajtak,Best App,4,"This app is one of the best news app with lots of features.This app is belongeto ajjtak news channel which give the news update.Aaj Tak, India's most watched news channel, available as an app. This app looks like a live news channel and it's really a news chanel app.This app brings to you Live TV, latest Hindi news, breaking news alert  , news from different categories from sports to Bollywood to politics to crime and religion. You can see the video of the news on that app also Aaj Tak is Indiaâ€™s most awarded, most-watched and most trusted news source. This app has so many features such as- Live TV: You can watch the livestream of Aaj Tak TV. They also show so sorry- in which cartoons of politicians are shown. Indepth Coverage: They also indepth coverage of all the news and give detail of the news. This is one of the best news app which shows the live coverage of app and live debates."
Aajtak,No 1 news channel,4,"Today I want to review aaj tak. When I have get enough time to watch tv. I always preferred to watch news . As it helps to aware me that what going happening in world but there is lot of news channel but aaj tak is amazing and best among them As we know that it is no 1 Hindi news channel among various channel for last 19 years.as it gets numerous awards for being no 1. One thing I don't like about this channel is that it show unnecessary ads during breaking news suppose it their half an hour events they show 10 minutes news and 20 minutes displaying ads.otherwise whether its anchors, its way to show the news tremendous, its application just one word brilliant. They showing various  show which covers news all-round the world whether it politics, business, sports, entertainment etc.SHATAK AAJ TAK, VAARDAAT, SO SORRY is my favourite.i never miss them. Punya parsoon joshi and rahul kawal is my favourite anchors.They way they interviewed the celebrities, politician, crickters brilliant.I like the interview when rahul kanwal interview cm yogi what type of genuine question he asked.my mother and sister is also love aaj tak channel. they like the show saas bahu aur betiyan. Aaj tak application is very good as it I get all notification regarding breaking news, video option is available in menu option, notification regarding upcoming goverment jobs, health, beauties, bussiness ideas, share market news, layout and features is very attractive.wonderful news channel aaj tak."
Aajtak,Best Application For Breaking News,4,"Today, I am going to give review of reputed for breaking news that is known as'AajTak'. I have been using this application since 2015. This app has many attractive features. First of all, I can watch the live stream of AajTaj TV. I do not worry if I missed my favorite show because I can also view the TV shows which has already broadcasted. I can watch news videos, discussions and analysis from AajTaj journos like Anjana Om Kashyap, Sweta Singh and many more. Furthermore, I can watch photos of my favorite sport stars and politicians from the exclusive photogallery. I can set the notification to get alerts of breaking news. Interestingly, I can switch to offline mode so I can read all the news with Internet. Lastly, I can share news articles, photos, videos via Facebook, Twitter, WhatsApp etc. I love this application because this app is faster, and easy to browse. Thanks a lot."
Aajtak,Looks like BJP news Channel,2,"Comes under largest news channel in India but looks like a BJP  channel, I am also a BJP supporter but not like this. This news channel only shows what bjp do, what yogi do in up and all about bjp. These aaj tak team even don't think about the other news of the whole country. They only focus on old concept to gaining TRP. It shows that features and functions are hopeless for any common man. I never refer to anyone for being live update with Aaj Tak News Channel."
Aajtak,Aaj tak news,1,It is the worst news channel.it is not a good channel .this has its attitude to the recent government.this shows which news for the government call.many time it repeat the same news and perticular person on news. And it show only paid news .it takes a big amount of money from perticulars and shows related that news many times.for example this times around one minth it shows only up cm yogi news.and it does not tell about other news in idia there is other state present besides the up but it show only yogi yogi news.i am not the critics of yogi.i am also support him .because he are doing most efforts than othes and doing much better up than previous.but only one type of news repeat and repeat irritate my self .channel also should show other state news.and work with freedom.
Aajtak,Aai tak channel app,3,"Hello friends . aaj tak channels is very useful for user . this channels app have a specific design for user, this channels app based for news and breaking news live show, headline, top news . so many things, aaj tak channels is very good channels for news collection and also up date with society .this channels app is well layout and functioning ability . this app consumer less ram of android . it is very small app .this app is user friendly and very useful"
Aajtak,Trusted News,5,Aaj Tak News channel is very very good channel.I think much people of India are seeing this News channel now a days. When I get up in the morning first of all I see this channel because it sees a good and interesting  news. Concept is very good. Much people are see this channel at a time we can say there is big crowd at a time.Media's member of Aaj Tak news are much they help it very much for searching news. This is very useful channel as I think my all family like it very much so friends please watch this channel and see truly what happening in our country. Thank You
Aajtak,Draamebaaj of T.V,2,"Media is strong content. In every Nation media plays a very important role to make country strong, and shows the original news or truth. Aaj tak Channel is the leading Channel in india and also popular but just for name,  they create draama of every story or news. They shows advertisement more than the news. They have no fix time for special news like sports, politics, general knowledge. In sports news they shows only on Cricket news or debate on Cricket. They don't promte other games like hockey. Designing and layout of the channel is good you can say that body is beautiful but heart is black. This channel is less useful for students as they don't show any general knowledge. Less use for ladies they don't give any tips for home use as per conclusion it is less useful. Thanks."
Aajtak,"Propaganda news channel, Aaj tak!",1,"Aaj tak has been popular news channel since many years but it's running nothing but propaganda news these days! Anchors like Anjana Om Kashyap, Sweta Singh show news in favor of Modi and BJP! Their shows like Agenda have audience who are pro-BJP! They have no credibility anymore! Skip this news channel if you want to escape propaganda journalism!"
Aajtak,Voice of india.,4,"Aaj tak is best known new channel in india. It is famous among the indian masses.I personally watch this channel from last 13 years. This channel won many prestigious awards and best channel from last few consecutive years. In conclusion, this channel is good in all respect and update you around the clock."
Aajtak,In this channel news is less and ad is more,2,"As this is the leading news channel of india but they are not deserving for this title. When I saw this channel in the morning they saw 1 min news and 10 min ad and this is very irritating. The news is dramatic and worthless. So guys please ignore this channel and watch another channels like ABP NEWS, INDIA NEWS etc."
Aajtak,More drama less news,2,"Aaj tak is one of the leading news channel in India . but on this channel  news is presented as drama or any type of stories with lots of add ups to increase on their ratings . there are many shows on this channel which are irrelevant in terms of news  most of the time a single big story hides all other news whole day a single story runs sometimes . lots of drama occurs on the channel . they transform the news in drama. some news are overemphasized by the channel and some are lees shown . Half of the time in a day only advertisements are running there are only few good night shows on the channel and rest of the more advertisement and less news .and there is not fix time for different segments of news . like sports, foreign news etc . sports news mainly concerned with cricket and before and after any match cricket news or debate is there .there is no daily sports segment. people like the channel for all drama and there way of showing news.but one should defiantly found that areal touch is missing ."
Aajtak,Aaj tak best,4,Whenever I want to watch the news I will go with aaj tak news channel because this is a very trusted news channel and I trust this channel so much because they show the right news to their viewers .the most strongest point of this news channel that the update of this news channel is so fast and they present the breaking news so fast .i am a big fan of cricket and whenever I want to watch a cricket report I go with aaj tak
Aajtak,Eye  Of Media,4,"'Aaj Tak' is a hindi news tv channel it is a very famous news channel in india among others news channels. It is launched in the year 1998 it is a great news channel. You can find all news around the world or whole world on this channel and it brings all the information about politics, cricket, tv serials, movies, and many more on your tv in front of you. Now it's apps is available in the android market called'Aaj Tak' to whom who using smartphones and want to know the news of the all over'India' and world it is very good channel for news it provides you ounce  of info. or news"
IndiaToday,Fake news spreaded,1,I don't like lost faith in your journalism paid news channel. Rajdeep dessai spreaded fake news about Sushant and defaming family is disturbing. Trying to cover up drug cartel in bollywood. Rhea is responsible for her action and maha govt dictatorship behaviour has lost public faith now.
IndiaToday,Worst experience ever,1,I took yearly subscription of India Today and after repeated chasers I finally asked them to refund my money. But neither I got the subscription nor my money. This is the most pathetic magazine/newspaper company who is looting their own customers. Never subscribe or make prepaid payments to them.
IndiaToday,Mirror of Corporate and Rich Peoples,3,"Now time has gone but some media publication group is still not serious about contents. Yes I am talking about India today. This magazine may be top and leading magazine of our Nation but on the matter of content India Today is just time pass. Some times I feel thay this magazine has no strong and social issues, no social responsibility. This Magazine has been making strong Mirror of Corporate and Rich Peoples for last decade. Yes Readers has been reading only socalled acadimic knowledge of instutions, new sex survey and personalities of Richhest men of india. This old reputated magazine has become Agent of Powerful and Royal Class. This publication has been printing many magazines only for advertisements. India today has no breaking Story right now. Editor please foregive me but you know the naked reality of India Today. Please go to commom people."
IndiaToday,Another political mouthpiece,1,Been reading India today for more than a decade now. Stopped autorenewal of online subscription after realising it is now no more the unbiased magazine it used to be. When series of editions look like a mouthpiece for leftist ideology I had to stop reading like it was the case with Outlook and front line.Only regret is this magazine also may end up like the above two magazines to the leftist fringe out of the mainstream.
IndiaToday,India Today Group Magazine Subscription,1,"I had purchased 2 subscriptions from the India Today group - Auto Bild and Money Today (Subscription IDs AUTO1666857 & MONTD1943309). However, in May/Jun 2015, India Today abruptly stopped the puRobotouchcation of both. There was no prior information or even after the fact. Obviously, I asked for a refund on my balance payment. This is when things really started going downhill. From May 2015 till now, I have written countless mails to Wecarebg@intoday.com (which actually should be We_Donotcare_bg@intoday.com) and called the helpline several times. Everytime, the service reps either gave a false date on which the cheques would be dispatched or some excuse for missing the promised date. I always thought India Today Group was a very professional company given the quality of their puRobotouchcations but I was seriously disappointed after this close encounter. It is clear that they have no respect for the customers, but only for their money. Now that they have to release my money, apparently they are complicating the situation purposefully to force me to give up. I sincerely request India Today Top management to display professional behaviour and refund my long-pending money from both subscriptions immediately."
IndiaToday,Read history instead of news.,1,I am a subscriber to India Today for a long time and their service has become absolutely third rate during the past 1 year. I am based in Chennai and almost for a year now 2 or 3 issues of India Today get bunched together and delivered in one lot. I do not know who has the time or patience to read all these issues together and by the time the magazine is delivered most of the news has become stale. I personally went to their Office in Anna Salai and showed them the unopened envelope containing 4 issues. I met a person called Bala who is supposed to be in charge of subscription. He promised that they would ensure timely delivery in future and after a few months again for the past 2 months I am getting 2 to 3 issues delivered together. For some strange reason they have not listed their phone number in their website and you have to personally go to their office for lodging a complaint. I called their customer care number and had to speak to a lady and she kept asking some stupid and irrelevant questions and refused to provide their Chennai Office number. I had again gone to their office and met Bala and informed him that I do not want any future issues of India Today being delivered to me. There was not even an apology from India Today and this shows the character of the organization and its people. If you are thinking of taking subscription for India today drop the idea. There are better magazines around which get delivered on time.
IndiaToday,India's Worst Magazine Subscription Service,1,"India Today, India's Worst Magazine Subscription Service. Despite being a member and reviewer on this site, I did not bother to check the reviews of India Today before I foolhardily decided to subscribe its English edition in 2014. Below is a letter I sent to We Care in Aug, 2015. To, India Today Customer Care, WE CARE, The India Today Group, A-61 Sector 57, Noida(UP) – 201301. Subject: Subscription Number ITEXXXXXXX. This is regarding my Case Id 3634554 for Subscription Number ITEXXXXXX. I subscribed for India Today English Ed under Order No. ITE-WEB-140904-216584. My subscription did not start until Oct 20th, that too after my first email to you dated Oct 16, 2015. My subscription was to run from issues dated 20/10/2014  to 12/10/2015. The Mar 16 issue was the last ever issue I received. Several issues before that had either been delivered late or not at all. I had requested, via Case Id 3634554, for cancellation of my subscription with immediate effect.  Also refer to Case ID 3643633 and Case Id 3648937. Kindly refer to all my email correspondence to you. I had not received a single issue after the issue dated March 16. Now after a gap of 5 months you have suddenly restarted delivering issues, with the issue of Aug 17, sent via India Post. Despite my several requests you have not officially cancelled my subscription. Please cancel my Subscription Number ITE1955513, with effect from March 16, 2015 and arrange for refund of my balance payment. If you do not wish to return my money, do not do so, at least do not insult me by resuming delivery after a gap of 5 months. If you do decide to return my balance amount, kindly let me know. I have enclosed India Today Issue Aug 17, 2015 with this letter. An extremely unhappy customer, Name, Address. Dated: Aug 22, 2015. Copies of this letter to; Aroon Purie, Editor-in –Chief. Manoj Sharma, Group Business Head. Ashish Bagga, Group CEO. - There has been no response from We Care. Instead they are now sending 1 issue by post every third week. I was foolish in not heeding to reviews on Mouthshut and now I have paid for it."
