Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
@PTI_News #The kind of false propaganda that the Indian media is serving will create a horrible environment for the next generation. @BBCHindi @ANI @PMOIndia @PrakashJavdekar,17-11-2020 03:36,en,,0,0,@PTI_News,Bikash Mallick,Bikash Mallick,238,41,108,86,0,FALSE,,,@mallickbikash1
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:35,en,,0,160,,Zorawar,"नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः ।
न चैनं क्लेदयन्त्यापो न शोषयति मारुतः ।।",14725,11292,1107,134,0,FALSE,,,@Zorawar68324101
RT @ivivek_nambiar: When will Indian media stop quoting the lies of politicians and making headlines and social media posts out of it witho…,17-11-2020 03:35,en,,0,2,,🇮🇳Anindita,"VasudhaivaKutumbakam: World is family | Waiting for Karma, NYAY, Rule of Law | Tricolor belongs to Indians, not Sanghis",213752,122708,1292,12715,33,FALSE,,,@hatefreeworldX
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:32,en,,0,13,,National Interest,"None of us know, which side of the bread is to butter !! Took an oath to serve and will continue to do so !",6167,6814,765,164,0,FALSE,,,@Sapper759
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:31,en,,0,13,,Atique ur Rehman,No Response to Bots  and Idiocracy. come and talk Sense,5054,1579,1062,419,0,FALSE,,,@A_Sheikh123
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 03:31,en,,0,92,,Osaf Pathan,,2692,19929,588,203,0,FALSE,,,@Osafpathan
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:30,en,,0,13,,Defenders of Pakistan,نَصْرٌ مِّنَ اللَّـهِ وَفَتْحٌ قَرِيبٌ، الجنة تحت ظلال السيوف، غزوہ ہند اور بھارت کی تباہی. (الله أكبر)🇵🇰🇹🇷,14528,19658,1281,197,0,FALSE,,,@MCE2293
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:28,en,,0,13,,sumairakhan,"Hospital Pharmacist , strongly believe in humanity ,contribute developing healthy community .",491,1038,74,41,0,FALSE,,,@JjSumera
RT @_Rooh07: @vaibhavUP65 Lot of misconceptions and fake narratives about Dogras. JAMMU is presently over shadowed by Kashmir centricity of…,17-11-2020 03:27,en,,0,1,,varun,,3698,6263,423,44,0,FALSE,,,@varunup15
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:26,en,,0,161,,Aditya Raj,"राष्ट्रहित सर्वोपरि 
Be kind, Be hungry, Make an Impact

A lazy Coder.

Interest : History, Politics, Documentary, Arts, 
AI, Design, Innovative Startups.",5906,6231,81,60,0,FALSE,,,@AdityaR_a_j
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:25,en,,0,13,,Ali🇵🇰,Proud Pakistani!,7913,50371,4744,847,1,FALSE,,,@Ali66502019
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:25,en,,0,161,,अपरिचित 🔱,इंडियन | पथिक | म्यूजिक लवर | सबका मित्र,164377,244598,152,574,0,FALSE,,,@aparichit_2OO2
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:24,en,,0,161,,Rohit Itadkar,,2763,7782,1102,68,0,FALSE,,,@ritadkar
"RT @whiteHatSnr: THREAD
1. Since Indian media is sold out to #Byjus and #WhiteHatJr let's expose this scam ourselves and also find out who…",17-11-2020 03:23,en,,0,446,,Sejal Shrotri,A very small person. A very big Gooner.,48173,757,214,722,19,FALSE,,,@SejalShrotri
"@PromoterBoxing At least 30 Indian soldiers have been killed in these clashes and the Indian media has been ordered to keep mum so that Feku's 56 inch image remains intact among bhakts, some of whom have started questioning in hush hush tones.",17-11-2020 03:23,en,,4,0,@PromoterBoxing,Rajiv Kumar 库玛,"Pacifist. Pluralist.  Anti-fascist.🇵🇰 watcher. 🇨🇳 observer. Beef lover. Interested in IR, geopolitics, religion, poetry, music, cinema, cricket.",4361,4844,292,2503,1,FALSE,,,@humdekhenge2020
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:22,en,,0,13,,Wajid Khan,For the progression of my Country. Believe in Helping Others and Contributing to the Motherland...,8898,3398,309,249,4,FALSE,,,@AJustice41
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:22,en,,0,161,,MPS,,33513,22408,78,62,0,FALSE,,,@likz84
RT @nilotpalm3: Since 150 days - SSR justice HT in top 10 - more than 50 times it was number one - more than 100 times it was in top 3 stil…,17-11-2020 03:21,en,,0,180,,Shradha Khare,"I m not one in a million type of girl, I m once in a lifetime of girl",3504,4581,57,37,0,FALSE,,,@khare_shradha
"RT @thecaravanindia: Archives | It is horrifying that Amit Shah is now the home minister, responsible for maintaining domestic peace. Besid…",17-11-2020 03:21,en,,0,14,,samanwayaet,write on legal issues for the economic times. views expressed are personal. pacifist. Gandhian.,51305,461,1855,2798,30,FALSE,,,@samanwaya_et
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:20,en,,0,13,,Saadia Iqbal Khan,,123795,162131,886,1723,4,FALSE,,,@Khaniqbal1Iqbal
RT @nkitsarda: Indian News Channel discussing abt Inflation #Mehengai in Pakistan - prices of petrol/diesel/gas; vegetables &amp; pulses ; esse…,17-11-2020 03:20,en,,0,1,,VeggieBot,,21921,0,0,153,2,FALSE,,,@bot_veggie
Indian News Channel discussing abt Inflation #Mehengai in Pakistan - prices of petrol/diesel/gas; vegetables &amp; pulses ; essential commodities have increased there in last few months completely forgetting abt same thing happening in their backyard too ! Khud ke ghar ki baat karlo,17-11-2020 03:16,en,,0,1,,Ankit Sarda,#MBA #Marketing #MastersinCommerce #CSR #PublicSpeaker #Writer #Traveller #Social #Views expressed are my own,10050,22907,704,692,85,FALSE,,,@nkitsarda
"@Loquacious_Lion @sonaliranade US media is near real media, Indian media runs on the money earned from propagandist. They have to spread news which their money givers want.",17-11-2020 03:14,en,,0,0,@Loquacious_Lion,IdunnoMyName,,90,213,34,2,0,FALSE,,,@idunno_my
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:12,en,,0,161,,अश्वत्थामा,सब मर जाएंगे सिर्फ अपुनिच बचेगा😎,8644,11829,189,82,3,FALSE,,,@Akkilesh007
RT @GaziS80217748: Its Clearly shows That indian Media is completely against Muslim #JusticeForGulnaz,17-11-2020 03:12,en,,0,1,,Dr-Peter-Parker,,2144,8793,132,99,0,FALSE,,,@Spidermen81
"RT @GaziS80217748: Yesterday, the #Gulnaz case was taken up on social media throughout the day so that the matter could come in the eyes of…",17-11-2020 03:12,en,,0,1,,Dr-Peter-Parker,,2144,8793,132,99,0,FALSE,,,@Spidermen81
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 03:11,en,,0,92,,saddam husain,,2587,5090,131,23,0,FALSE,,,@saddammd
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:11,en,,0,161,,dinesh19,"I don't care what you think about me, I don't think about you at all!",1908,1078,654,67,0,FALSE,,,@dinesh19000
"RT @whiteHatSnr: THREAD
1. Since Indian media is sold out to #Byjus and #WhiteHatJr let's expose this scam ourselves and also find out who…",17-11-2020 03:10,en,,0,446,,NATural Woman,"I'm not a playa, i just crush a lot. Y'see her confidence is tragic, but her intuition, magic, & the shape of her body? Unusual. Too round to be square.
She/Her",74388,97707,1118,3783,71,FALSE,,,@AsslikeNat
"RT @RMASindia: @jitendragoyalsv Apna Haq, Apni Ladai,
#LoanMafia
#OperationHaftaVasooli bandh 
#moratoriumextension is must 
Dear Indian me…",17-11-2020 03:08,en,,0,4,,narendra Kumar Thathera,,427,561,3,9,0,FALSE,,,@narendr21407112
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:07,en,,0,161,,Sandeep K Bhati,Java Expert     :     Techno Functional                                       RTs are not endorsed.,377501,808433,605,1193,15,FALSE,,,@sandeep21031983
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 03:06,en,,0,13,,Arsalan Ali Shan,,658,10029,346,32,0,FALSE,,,@ArsalanAliShan1
Why is indian media so boring and not support nationalism. https://t.co/lvZELrFCeB,17-11-2020 03:03,en,,0,0,,Navneet Kr roy 🇮🇳🇮🇳NATION FIRST🇮🇳🇮🇳,"#हिंदी💐 #हिंदू🚩#हिंदुस्तान 🇮🇳 #हिंदू_राष्ट्र🕉
#जय_हिंद_जय_भारत🇮🇳 #जय_श्री_सीताराम🛕🏹⛳
#Terrorists_life_Do_Not_Matter
@rss @abvp @bajrangdal @bjp @bjym",13748,22189,1134,457,0,FALSE,,,@navo_1008_Ravan
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 03:02,en,,0,161,,Vettri,,41797,31659,2271,103,0,FALSE,,,@vvettriv
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:59,en,,0,161,,Shalini,Bharatiya First 🇮🇳 No more Corporate. Mother. Wife. Keeper of Secrets. No Nonsense. RTs & Likes are no endorsements!,15401,36354,348,108,0,FALSE,,,@Shalini11617650
@ndtv He is calling US media as a fake media then what about Indian media??? 🤣🤣🤣🤣😅😅,17-11-2020 02:59,en,,1,0,@ndtv,نو شاد #stay home stay safe,Life is unpredictable!,194,235,39,2,0,FALSE,,,@Naushad60002170
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:56,en,,0,161,,Rajan Bhardwaj,,103907,126239,550,189,3,FALSE,,,@Raj_Bhardwaj17
"RT @VoiceOfNations7: Malabar exercise that upsets China is a tectonic shift in power balance; Indian media hypes the scenario.
#VoiceOfNati…",17-11-2020 02:56,en,,0,1,,بالاچ خان رند,‏‏‏‏‏دنیا تیرے مزاج کا بندہ نہیں ہوں میں,16944,17037,724,210,0,FALSE,,,@Uqqab7
RT @JoyBasak123: Hey Dear Apostate Prophet............ in india muslims raping and killing hindu girls but our biased indian media didn't c…,17-11-2020 02:51,en,,0,1,,"जे एस, गर्व से हिंदुस्तानी हुन । 🇮🇳","Book lover of history, traveller. Love to see issues through binok. Believe truth is God.
Rt no way agreeing.",76804,73933,1821,1204,1,FALSE,,,@hoonjan_191
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 02:51,en,,0,13,,Hinter-LAND,"“In three words I can sum up everything I've learned about life: it goes on.” 
― Robert Frost",33762,54435,4339,1559,5,FALSE,,,@Kissan1998
@BBCHindi Will Indian media houses are respecting values of fourth state with integrity?,17-11-2020 02:49,en,,0,0,@BBCHindi,Binod Kr. Mishra,Binod Kumar Mishra,1084,294,55,7,0,FALSE,,,@bkm45262379
"RT @thecaravanindia: Archives | It is horrifying that Amit Shah is now the home minister, responsible for maintaining domestic peace. Besid…",17-11-2020 02:49,en,,0,14,,True Indian 🇮🇳,"CA. Invite all to the way of Lord with wisdom and beautiful preaching and argue with them , reason with them in a manner which is best and most gracious...",43249,41509,319,180,1,FALSE,,,@Jawyonurluck
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:48,en,,0,161,,Dr.Alok 🇮🇳,,37749,12214,744,587,10,FALSE,,,@alokaadi
RT @DearthOfSid: Indian media will eulogise their US counterpart for fact-checking Trump but will shamelessly print the Indian government's…,17-11-2020 02:48,en,,0,19,,True Indian 🇮🇳,"CA. Invite all to the way of Lord with wisdom and beautiful preaching and argue with them , reason with them in a manner which is best and most gracious...",43249,41509,319,180,1,FALSE,,,@Jawyonurluck
@arunbothra You are taking about Indian Media!,17-11-2020 02:47,en,,1,0,@arunbothra,Pratyush Kumar,"Proud & Responsible Indian,
Liberal Nationalist, News Junkie.
In pursuit of Self-Actualisation...",2147,14045,807,95,4,FALSE,,,@pratyushkumarIN
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 02:45,en,,0,13,,Naeem,"‏My Pakistan... My everything.
میرے وطن میرے بس میں ہو تو تیری حفاظت کروں میں ایسے... خزاں سے تجھ کو بچا کے رکھوں، بہار تجھ پے نثار کر دوں",2074,2179,232,28,0,FALSE,,,@PakPower8
RT @nilotpalm3: Since 150 days - SSR justice HT in top 10 - more than 50 times it was number one - more than 100 times it was in top 3 stil…,17-11-2020 02:45,en,,0,180,,Sai Manjusha,,2572,20676,80,48,0,FALSE,,,@SaiManjusha96
"@khushal_singh_ @TheHarrisSultan There should be more media coverage on Muslim issues since Muslim are Minorities in India, so general system bias will work against them, on top of that you now have radical right wing extremist BJP in power, which makes it even worst. So to ensure justice Indian media should",17-11-2020 02:43,en,,0,0,@khushal_singh_,Mohammed Abdullah,"Confused?
Ex-follower of The Apostate Prophet
Also a Bullshit slayer.
Since you have come here, then don't go away without touching the follow button.",976,294,66,31,0,FALSE,,,@Mohabdullah81
"RT @INFANTRY28: In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; chall…",17-11-2020 02:43,en,,0,13,,Kadar Khan,"Retweet doesn't mean endorsement, like or dislike with post~",193267,73739,4980,2250,109,FALSE,,,@kadar_k
RT @nilotpalm3: Since 150 days - SSR justice HT in top 10 - more than 50 times it was number one - more than 100 times it was in top 3 stil…,17-11-2020 02:42,en,,0,180,,Tina,,10927,5915,346,135,0,FALSE,,,@Tina9281
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:42,en,,0,92,,Sameer Khan@@@$,,21609,32009,765,422,0,FALSE,,,@SameerK67766054
"In Paris Air Show, Indian Rafael made a record by flying upside down to 188 km on which the Indian media lifted sky &amp; challenged Pakistan
Wing Commander Zeeshan Briar overturned JK-17 thunder upto 229 km &amp; made an undefeated world record. PAF has yet again made the Nation proud https://t.co/gKs3Im0HUz",17-11-2020 02:41,en,,59,13,,SHAFAAT SHAH,"Retd Lt Gen. Former MS to President,Corps Commander,Lahore & Ambassador of Pakistan to Jordan. Proud to Be A Pakistani",26310,24888,96,17158,27,FALSE,,,@INFANTRY28
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:41,en,,0,161,,Noone,,63030,9512,92,145,18,FALSE,,,@someoneatnoone
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:41,en,,0,92,,Wan riz,I am professional,5720,3590,969,216,0,FALSE,,,@Wanriz18
"Hey Dear Apostate Prophet............ in india muslims raping and killing hindu girls but our biased indian media didn't cover. 
If one individual mob lynching happens then liberal saying hindu terrorist kills muslims......
Im not defending any kinds of violence @ApostateProphet https://t.co/ee6TYsOtcM",17-11-2020 02:40,en,,1,1,,जॉय कुमार बसाक🚩🚩🚩,"हेलो दोस्तों 🙏🙏🙏
मैं आपका दोस्त आपका भाई #जॉय_कुमार_बासक 😎☺️😙
राष्ट्रवादी और हिंदूवादी मुझे फ़ॉलो करें 🙏🙏🙏
लीब्रण्डू और सेक्युलर दूर रहे 👈👈👈",1205,2341,2361,750,0,FALSE,,,@JoyBasak123
"RT @RMASindia: @jitendragoyalsv Apna Haq, Apni Ladai,
#LoanMafia
#OperationHaftaVasooli bandh 
#moratoriumextension is must 
Dear Indian me…",17-11-2020 02:39,en,,0,4,,Dipak Dolatrai Naik,My personality,12356,1206,23,71,2,FALSE,,,@NaikDolatrai
RT @RatanSharda55: The PFI appears to be a perfect match for the IHH as both organizations have been implicated in terrorism. According to…,17-11-2020 02:38,en,,0,53,,Sanjeev Kr Slngh,Consultant. Nationalist HINDU..,19984,42875,457,322,0,FALSE,,,@kr_singh0786
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:38,en,,0,92,,Gufran,"‏‏‏🌿🍀🌿🍀🌿🍀🌿🍀🌿🍀🌿🌿

🌸شاخ سے گر جائیں ھم وہ پتے نہیں  
  
آندھیوں سےکہ دو اپنی اوقات میں رہیں 🌸

🌿🍀🌿🍀🌿🍀🌿🍀🌿🍀🌿🍀
‎",5836,1138,5001,3622,0,FALSE,,,@Gufran67595826
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:37,en,,0,92,,PRINCE UMAR QURESHI,"PRINCE UMAR
PROUD TO BE A MUSLIM
INDIA
GYM LOVER",269,261,133,21,0,FALSE,,,@PRINCEUMARQURE3
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:36,en,,0,92,,Masiuzzama Khan,एक भारतीय।,2602,3779,727,228,0,FALSE,,,@MasiuzzamaKhan
"RT @MonaAlamm: Federal Ministers blame #Sindhpolice for mutiny over Cspt Safdar matter which became news on Indian media

“I write in Calcu…",17-11-2020 02:35,en,,0,4,,Syed IQBAL PTi,"‏بتلا دو گُستاخِ نبی کو کہ غیرتِ مسلم زندہ ہے
دین پہ مَر مِٹنے کا جزبہ کل بھی تھا آج بھی ہے

‎#WeLoveMuhammadPBUH",69582,60802,4523,1028,3,FALSE,,,@iqbalhussainsts
RT @pratheesh_Hind: You are right Mr. @ShashiTharoor. Many Indian media should learn from them. They who propogated lies of congress leader…,17-11-2020 02:34,en,,0,19,,Saaty Sanatan,Dev+Desh+Dharma=Rashtra Not just Nation!,17572,15749,993,92,0,FALSE,,,@SaatySanatan
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:32,en,,0,161,,सनातन संजीव,"राष्ट्र सर्वोपरि, राष्ट्रवादी ही फॉलो करें

A no one, will help or offend you with truth.

With great power comes greater responsibility

retweet not endorsment",49939,38904,1657,1247,2,FALSE,,,@sanjivarjungaur
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:31,en,,0,92,,Yahaya,student,4564,15812,963,289,0,FALSE,,,@Yahaya68058099
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:30,en,,0,161,,🇮🇳Karthik,"ॐ पूर्णमदः पूर्णमिदं पूर्णात्पूर्णमुदच्यते ।
पूर्णस्य पूर्णमादाय पूर्णमेवावशिष्यते ॥
ॐ शान्तिः शान्तिः शान्तिः ॥",65803,56780,2276,3182,8,FALSE,,,@OKarthik82
"Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:29,en,,1,0,,bilalshiekh344@gmail.com,comedy,339,13607,392,49,0,FALSE,,,@bilalshiekh3445
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:29,en,,0,92,,Prodip Kumar Kaur,retired post graduate teacher,224,208,94,18,0,FALSE,,,@ProdipKumarKau2
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:29,en,,0,161,,Shan,Nation First. Trust NAMO. Against Family based political Parties. Special interest in SME and Agriculture. Award winner International Trade. Blog writer for SME,41706,75651,492,414,0,FALSE,,,@rakkanchat1
"@TarekFatah @indiatvnews This is the 1 in 1000 time they were caught.

The 1 in 3 times Indian media picked up the story.

And the 1 in 50 times US media picked up an Indian press story.

Happens everyday.  Donate $.",17-11-2020 02:28,en,,1,0,@TarekFatah,Space Cadet Ready!,"RT, fav or follow ≠ endorsement. My opinions are my own and don’t represent who I work for.",2830,29556,162,87,0,FALSE,,,@spacecadetready
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:26,en,,0,161,,Sachin@kafir_infidel,Kattar Viraat Hindu.Against Ola hu uber gang. Fighting with internal enemies of INDIA.Jai Hind !! Jai sri https://t.co/JIOVSE2bN5 of MODI ji 🙏. Hate urban naxal. Former ABVP.,208973,387869,4951,2208,3,FALSE,,,@viraat_hinduu
RT @nilotpalm3: Since 150 days - SSR justice HT in top 10 - more than 50 times it was number one - more than 100 times it was in top 3 stil…,17-11-2020 02:26,en,,0,180,,Pra Kriti 💫🦋,Indian,47465,83677,666,404,1,FALSE,,,@Nationalist280
"Malabar exercise that upsets China is a tectonic shift in power balance; Indian media hypes the scenario.
#VoiceOfNations https://t.co/Yt3ZTFDbaD",17-11-2020 02:25,en,,1,1,,Voice of Nations,"International News Channel 
Contact: Vonnews11@gmail. com",12003,959,1,601,0,FALSE,,,@VoiceOfNations7
"RT @ShaanIrfan05: Indian Media Is Islamophobic

Paas It On.
#JusticeForGulnaz",17-11-2020 02:24,en,,0,92,,Mohammad Rafi,Jio aur jeene do ❤ ❤ ❤,17664,28980,1042,593,0,FALSE,,,@Mohamma46105416
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:23,en,,0,161,,विष्णु 🕉🇮🇳,"IT Pro,Sanghi & NaMo Bhakt.Proud Hindu. Followed by @nsitharamanoffc 🙏🏻 My Tweets r in my Likes. #JaiHind 🇮🇳 #JaiShriKrishna 🕉",215909,13469,1985,3836,24,FALSE,,,@PVishnukant
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:23,en,,0,161,,#WeSupportRepublic 😊,Hindu,28183,23866,696,256,0,FALSE,,,@Devansh34030582
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:22,en,,0,161,,DesiGeek,Rama bhakt,198852,180,1558,393,71,FALSE,,,@desiprocess
"RT @mgnayak5: Rogue RW’s Blaming Namo &amp;Motabhai saying not done anything for BJP Karyakartas,
Just see what Indian Media did to them &amp; they…",17-11-2020 02:21,en,,0,161,,Logical Indian,"भारतीय हिन्दू ...जन्‍म से, मन से ॵर कर्म से।",10189,25073,211,102,0,FALSE,,,@ARAbhaiya
